"the_geom","OBJECTID","CROSSING","RAILROAD","RRDIV","RRSUBDIV","HIGHWAY","STREET","TYPEXING","POSXING","STFIPS","CTFIPS","COUNTY","State_ABBR","TYPE"
"POINT (-77.07739768698538 38.99389219647616)","1","139513M","MONZ","MD","GEOR","MD 185","CONNECTICUT AVE","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.06629669038938 38.99749319559941)","2","139512F","MONZ","MD","GEOR","CO 4460","JONES MILL RD","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.10401667983609 38.96430620381509)","3","139521E","MONZ","MD","GEOR","MD 190","RIVER RD","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.05169469394068 39.00249119373648)","4","139508R","MONZ","MD","GEOR","CO 858","STEWART AVE","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.40396655838448 39.409526125757814)","5","140462B","MDT","BALTIMORE","OLML","MU 1590","WISNER ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40747555823286 39.40994212615457)","6","140465W","MDT","BALTIMORE","OLML","MU 1400","SOUTH ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.62734549522906 39.31134915397549)","7","140608S","CSX","BALTIMORE","METROPOLITAN","MU 300","MAPLE AVE","3","1","24","24021","Frederick","MD","PU"
"POINT (-76.64341380570905 39.26482512636638)","8","140869S","CSX","BALTIMORE","BALTIMORE TERM","MU 1960","HOLLINS FERRY RD","3","1","24","24510","Baltimore","MD","PU"
"POINT (-76.5005578464801 39.32221210930659)","9","140830N","CSX","BALTIMORE","PHILADELPHIA","OP 5047","TODDS LANE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.93520173336593 38.96229119805474)","10","140905K","CSX","BALTIMORE","CAPITAL","MU 180","QUEENSBURY RD","3","1","24","24033","Prince George's","MD","PU"
"POINT (-76.1044979568263 39.55579304771191)","11","140794V","CSX","BALTIMORE","PHILADELPHIA","MU 420","LEWIS LANE","3","1","24","24025","Harford","MD","PU"
"POINT (-76.72429478460592 39.19239414359893)","12","140883M","CSX","BALTIMORE","CAPITAL","CO 146","HANOVER ROAD","3","1","24","24027","Howard","MD","PU"
"POINT (-76.76759877253888 39.162292151510066)","13","140886H","CSX","BALTIMORE","CAPITAL","C0 131","MONTEVIDEO RD.","3","1","24","24027","Howard","MD","PU"
"POINT (-77.19379964081462 39.14109417137438)","14","140507F","CSX","BALTIMORE","METROPOLITAN","MU 360","S SUMMIT AVE","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.22440063084362 39.148594171380196)","15","140512C","CSX","BALTIMORE","METROPOLITAN","MU 215","METROPOLITANGROVE","3","1","24","24031","Montgomery","MD","PU"
"POINT (-75.82662003784858 39.65864901731299)","16","140774J","CSX","BALTIMORE","PHILADELPHIA","MD 277","ELK MILLS RD","3","1","24","24015","Cecil","MD","PU"
"POINT (-76.04693397293453 39.57962404131955)","17","140789Y","CSX","BALTIMORE","PHILADELPHIA","CO 102","JACKSON STATION","3","1","24","24015","Cecil","MD","PU"
"POINT (-76.16299994121073 39.5091930590504)","18","140804Y","CSX","BALTIMORE","PHILADELPHIA","MD 132","WEST BELAIR AVE","3","1","24","24025","Harford","MD","PU"
"POINT (-76.63219980881242 39.27379212409853)","19","140867D","CSX","BALTIMORE","BALTIMORE TERM","MU 4305","BUSH STREET","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.90609473771717 39.022892184785235)","20","140899J","CSX","BALTIMORE","CAPITAL","CO 20","SUNNYSIDE AVE","3","1","24","24033","Prince George's","MD","PU"
"POINT (-77.11049467265914 39.053493185909694)","21","140494G","CSX","BALTIMORE","METROPOLITAN","CO 1659","RANDOLPH ROAD","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.48782053953063 39.30274915009576)","22","140458L","CSX","BALTIMORE","OLD MAIN LINE","CO297","DOUBS RD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.01329568375695 39.353992122476804)","23","140415T","CSX","BALTIMORE","OLD MAIN LINE","CO 603","HOODS MILL RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-77.36903157278637 39.36120913464923)","24","140441H","CSX","BALTIMORE","OLD MAIN LINE","CO 363","REELS MILL RD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.47550754274891 39.311473148433535)","25","140457E","CSX","BALTIMORE","OLD MAIN LINE","CO 287","MONTVILLE ROAD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.31366459036096 39.35972913235892)","26","140438A","CSX","BALTIMORE","OLD MAIN LINE","CO 365","MUSSETER RD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.41858455809049 39.356739136855914)","27","140449M","CSX","BALTIMORE","OLD MAIN LINE","","ENGLISH MUFFIN","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.32539158607807 39.36251813216859)","28","140439G","CSX","BALTIMORE","OLD MAIN LINE","CO 368","IJAMSVILLE RD.","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.17669464651688 39.13469317243189)","29","140505S","CSX","BALTIMORE","METROPOLITAN","CO 2850","RIDGE RD.","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.45682254810936 39.3255841444802)","30","140455R","CSX","BALTIMORE","OLD MAIN LINE","CO 324","NEW DESIGN RD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.3887305646971 39.39534712812406)","31","140450G","CSX","BALTIMORE","OLD MAIN LINE","MD 85","BUCKEYSTOWN PIKE","3","1","24","24021","Frederick","MD","PU"
"POINT (-76.15399694372483 39.518592056804614)","32","140802K","CSX","BALTIMORE","PHILADELPHIA","MU 960","BEARDSHILL RD EXT","3","1","24","24025","Harford","MD","PU"
"POINT (-75.84142103305288 39.64943301971735)","33","140775R","CSX","BALTIMORE","PHILADELPHIA","OP 37","JOHNSONS RD","3","1","24","24015","Cecil","MD","PU"
"POINT (-76.62682080929923 39.27634712337872)","34","140865P","CSX","BALTIMORE","BALTIMORE TERM","","RIDGELY STREET","3","1","24","24510","Baltimore","MD","PU"
"POINT (-76.99269668993247 39.36019112056253)","35","140414L","CSX","BALTIMORE","OLD MAIN LINE","CO 673","GAITHER RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.39409387453519 39.41169308761215)","36","140819N","CSX","BALTIMORE","PHILADELPHIA","CO 4095","EBENEZER RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.63318680913298 39.25869912728896)","37","140384W","CSX","BALTIMORE","BALTIMORE TERM","MU 1630","WATERVIEW AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.93779573359406 38.94529320094185)","38","140255G","CSX","BALTIMORE","CAPITAL","MU 100","TANGLEWOOD DRIVE","3","1","24","24033","Prince George's","MD","PU"
"POINT (-76.93502883491249 38.93179850366405)","39","140260D","CSX","BALTIMORE","CAPITAL","CO 2172","LAWRENCE ST","3","1","24","24033","Prince George's","MD","PU"
"POINT (-76.62460081114465 39.27539012363694)","40","140863B","CSX","BALTIMORE","BALTIMORE TERM","","WARNER ST.","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.63089580878633 39.27499412323023)","41","140866W","CSX","BALTIMORE","BALTIMORE TERM","MU 4300","BAYARD STREET","3","1","24","24005","Baltimore","MD","PU"
"POINT (-77.015827384026 39.35299152268059)","42","140416A","CSX","BALTIMORE","OLD MAIN LINE","MD 97","WASHINGTON RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-77.39612356143269 39.40624612650357)","43","140440B","CSX","BALTIMORE","OLD MAIN LINE","CO 373","REICHS FORD RD.","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.06699866672247 39.36259012268422)","44","140418N","CSX","BALTIMORE","OLD MAIN LINE","CO 599","NEWPORT RD.","3","1","24","24013","Carroll","MD","PU"
"POINT (-77.20390063833382 39.14199017172453)","45","140509U","CSX","BALTIMORE","METROPOLITAN","MU 40","CHESTNUT STREET","3","1","24","24031","Montgomery","MD","PU"
"POINT (-76.10549695639828 39.553894048762686)","46","140793N","CSX","BALTIMORE","PHILADELPHIA","MU 510","ONTARIO STREET","3","1","24","24025","Harford","MD","PU"
"POINT (-76.93908973198853 38.95050020067422)","47","140253T","CSX","BALTIMORE","CAPITAL","MU102","DECATUR STREET","3","1","24","24033","Prince George's","MD","PU"
"POINT (-77.17879263136578 39.36552412601794)","48","140426F","CSX","BALTIMORE","OLD MAIN LINE","CO 571","OLD MILL BOTTM RD","3","1","24","24021","Frederick","MD","PU"
"POINT (-76.62246780790963 39.322879113402365)","49","140381B","CSX","BALTIMORE","BALTIMORE TERM","MD 648E","ANNAPOLIS RD.","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.79379775536013 39.31039012289383)","50","140409P","CSX","BALTIMORE","OLD MAIN LINE","CO 271","OLD FREDERICK RD","3","1","24","24027","Howard","MD","PU"
"POINT (-76.3889978756181 39.413890086646376)","51","140817A","CSX","BALTIMORE","PHILADELPHIA","CO 3939","JONES RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.89899972053581 39.35139011827228)","52","140411R","CSX","BALTIMORE","OLD MAIN LINE","CO 70","MARRIOTTSVILLE RD","3","1","24","24027","Howard","MD","PU"
"POINT (-76.68039479557153 39.22989213422433)","53","140340W","CSX","BALTIMORE","BALTIMORE TERM","MU 1960","HOLLINS FERRY RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.72229578248266 39.22899213631282)","54","140405M","CSX","BALTIMORE","OLD MAIN LINE","SR 85","GUNN ROAD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.77670076448524 39.2563931329542)","55","140410J","CSX","BALTIMORE","OLD MAIN LINE","CO 270","WOODSTOCK RD","3","1","24","24027","Howard","MD","PU"
"POINT (-77.06259666856518 39.361091122177584)","56","140417G","CSX","BALTIMORE","OLD MAIN LINE","CO 565","WOODBINE RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.93099773601296 38.926792204452546)","57","140263Y","CSX","BALTIMORE","CAPITAL","MD 769D","52 AVENUE","3","1","24","24033","Prince George's","MD","PU"
"POINT (-76.69619579128543 39.22659313572094)","58","140396R","CSX","BALTIMORE","BALTIMORE TERM","MU 1281","WASHINGTON BLVD","3","1","24","24510","Baltimore","MD","PU"
"POINT (-76.33360089193961 39.4362900804992)","59","140813X","CSX","BALTIMORE","PHILADELPHIA","CO 283","CLAYTON RD","3","1","24","24025","Harford","MD","PU"
"POINT (-77.11739862903909 39.70899205556138)","60","140461U","CSX","BALTIMORE","OLD MAIN LINE","MD 28","TUSCARORA RD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.44881154938786 39.33176814360559)","61","140454J","CSX","BALTIMORE","OLD MAIN LINE","CO 308","MANOR WOODS RD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.0780996632293 39.366291122328654)","62","140420P","CSX","BALTIMORE","OLD MAIN LINE","CO 668","WATERSVILLE RD.","3","1","24","24027","Howard","MD","PU"
"POINT (-77.05599769173159 39.014392191681445)","63","140488D","CSX","BALTIMORE","METROPOLITAN","CO 1227","FOREST GLEN RD","3","1","24","24031","Montgomery","MD","PU"
"POINT (-76.35709888450673 39.43059108203172)","64","140815L","CSX","BALTIMORE","PHILADELPHIA","CO 505","JOPPA RD","3","1","24","24025","Harford","MD","PU"
"POINT (-77.42782355554465 39.350032138599396)","65","140451N","CSX","BALTIMORE","OLD MAIN LINE","CO 298","LIMEKILN ROAD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.725487444713 39.63094209452009)","66","140617R","CSX","BALTIMORE","LURGAN","MU 890","GARLINGER AVE","3","1","24","24043","Washington","MD","PU"
"POINT (-77.74159744087719 39.613392099032296)","67","140613N","CSX","BALTIMORE","LURGAN","CO 400","OAK RIDGE DR.","3","1","24","24043","Washington","MD","PU"
"POINT (-77.15859763772481 39.378791122809986)","68","140422D","CSX","BALTIMORE","OLD MAIN LINE","MU 160","HILL ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.72702744465921 39.62368209599683)","69","140615C","CSX","BALTIMORE","LURGAN","MU 2600","WILSON BLVD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.7261474444059 39.62797209505429)","70","140616J","CSX","BALTIMORE","LURGAN","MU 2000","POTOMAC STREET","3","1","24","24043","Washington","MD","PU"
"POINT (-76.59089082154952 39.27390812225522)","71","140388Y","CSX","BALTIMORE","BALTIMORE TERM","MU 4515","KEY HY/HULL ST","3","1","24","24510","Baltimore","MD","PU"
"POINT (-76.54606083405592 39.29316711717753)","72","140373J","CSX","BALTIMORE","BALTIMORE TERM","MU 5865","FT. ARMSTEAD RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.59226282188213 39.265894123658065)","73","140393V","CSX","BALTIMORE","BALTIMORE TERM","","ANDRE ST.","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.75624477583578 39.173051148592656)","74","141354H","CSX","BALTIMORE","CAPITAL","CO 1128","SAN TOMAS RD.","3","1","24","24027","Howard","MD","PU"
"POINT (-77.23377761367792 39.37469112651961)","75","140425Y","CSX","BALTIMORE","OLD MAIN LINE","MD144FB","OLD NATIONAL PIKE","3","1","24","24021","Frederick","MD","PU"
"POINT (-76.56269582928842 39.28059411990762)","76","140365S","CSX","BALTIMORE","BALTIMORE TERM","MU5870","OLD PENN AVENUE","3","1","24","24510","Baltimore","MD","PU"
"POINT (-77.40553055779289 39.414928125293734)","77","140463H","CSX","BALTIMORE","OLD MAIN LINE","MU 1400","EAST SOUTH ST.","3","1","24","24021","Frederick","MD","PU"
"POINT (-76.93543773437277 38.931755203911095)","78","140259J","CSX","BALTIMORE","CAPITAL","CO 2773","LLOYD ST","3","1","24","24033","Prince George's","MD","PU"
"POINT (-76.68646479443198 39.229300135099734)","79","140242F","CSX","BALTIMORE","BALTIMORE TERM","CO 3140","HALETHORPE FARM","3","1","24","24510","Baltimore","MD","PU"
"POINT (-77.69080145378352 39.64969208914623)","80","139504N","CSX","BALTIMORE","HANOVER","CO 378","SECURITY RD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.44501055777458 39.22712316432384)","81","140524W","CSX","BALTIMORE","METROPOLITAN","CO 240","MOUTHOFMONOCACYRD","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.6889014538119 39.651394089360494)","82","139505V","CSX","BALTIMORE","HANOVER","CO 255","ANTIETAM DR.","3","1","24","24043","Washington","MD","PU"
"POINT (-77.72443944768126 39.58633810310322)","83","140575G","CSX","BALTIMORE","LURGAN","CO 402","WAGAMAN RD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.72466744720778 39.59424210147998)","84","140576N","CSX","BALTIMORE","LURGAN","CO 401","POFFENBERGER ROAD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.71951744634526 39.62425209567041)","85","139498M","CSX","BALTIMORE","LURGAN","MU 800","1 STREET","3","1","24","24043","Washington","MD","PU"
"POINT (-77.72258744639178 39.612742098212465)","86","139495S","CSX","BALTIMORE","LURGAN","MU 1320","KUHN AVE","3","1","24","24043","Washington","MD","PU"
"POINT (-76.90700973770605 39.02658818347053)","87","140235V","CSX","BALTIMORE","CAPITAL","CO 2361","TUCKER ST.","3","1","24","24033","Prince George's","MD","PU"
"POINT (-76.79060176797269 39.12529315926882)","88","140231T","CSX","BALTIMORE","CAPITAL","CO 106","BERGER ROAD","3","1","24","24027","Howard","MD","PU"
"POINT (-76.79299676627605 39.143390156231)","89","140251E","CSX","BALTIMORE","CAPITAL","CO 121","DORSEY RUN RD","3","1","24","24027","Howard","MD","PU"
"POINT (-77.72110744577871 39.6229620963934)","90","139497F","CSX","BALTIMORE","LURGAN","MU 1850","OAK ST.","3","1","24","24043","Washington","MD","PU"
"POINT (-77.7153974479985 39.62763209497947)","91","139499U","CSX","BALTIMORE","HANOVER","US 40AL","FREDERICK ST","3","1","24","24043","Washington","MD","PU"
"POINT (-76.83080075262694 39.17459515119126)","92","140230L","CSX","BALTIMORE","CAPITAL","CO 128","OAKLAND MILLS RD.","3","1","24","24027","Howard","MD","PU"
"POINT (-76.90911373640964 39.02829818316116)","93","140237J","CSX","BALTIMORE","CAPITAL","CO 2363","HANNA ST","3","1","24","24033","Prince George's","MD","PU"
"POINT (-77.72146744598327 39.62267209572444)","94","139496Y","CSX","BALTIMORE","LURGAN","MU 2600","WILSON BOULEVARD","3","1","24","24043","Washington","MD","PU"
"POINT (-76.92970073654561 38.92529320492483)","95","140254A","CSX","BALTIMORE","CAPITAL","US 1ALT","BALTIMORE AVENUE","3","1","24","24033","Prince George's","MD","PU"
"POINT (-76.75624477583578 39.173051148592656)","96","140244U","CSX","BALTIMORE","CAPITAL","CO 1128","SAN TOMAS RD","3","1","24","24027","Howard","MD","PU"
"POINT (-76.79019676676053 39.143093155699596)","97","140226W","CSX","BALTIMORE","CAPITAL","CO 1094","STAYTN DR","3","1","24","24027","Howard","MD","PU"
"POINT (-76.51207484660607 39.2598031222494)","98","140316V","CSX","BALTIMORE","BALTIMORE TERM","CO 5278","SOLLERS PT. RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.5286998405104 39.26989312087736)","99","140318J","CSX","BALTIMORE","BALTIMORE TERM","CO 5213","MAXWELL AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.49949385111356 39.25489412318718)","100","140313A","CSX","BALTIMORE","BALTIMORE TERM","CO 5391","CHESTERWOOD RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.58709482703773 39.20709213585988)","101","140363D","CSX","BALTIMORE","BALTIMORE TERM","MD 710","ORDNANCE RD.","3","1","24","24003","Anne Arundel","MD","PU"
"POINT (-76.51080084747973 39.258995122033724)","102","140315N","CSX","BALTIMORE","BALTIMORE TERM","CO 5460","MERRITT BLVD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.58789582555735 39.21549213406748)","103","140362W","CSX","BALTIMORE","BALTIMORE TERM","MD 173","PENNINGTON AVENUE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.50249984819519 39.29019111553505)","104","140355L","CSX","BALTIMORE","BALTIMORE TERM","MU 4405","PATAPSCO AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.68024479531034 39.239821132846444)","105","140241Y","CSX","BALTIMORE","BALTIMORE TERM","CO 6274","TRANSWAY ROAD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.49829685117476 39.25459312274071)","106","140311L","CSX","BALTIMORE","BALTIMORE TERM","CO 5397","STANSBURY ROAD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.74504577880941 39.18174314659026)","107","140243M","CSX","BALTIMORE","CAPITAL","CO 1130","SANTA BARBARA CT.","3","1","24","24003","Anne Arundel","MD","PU"
"POINT (-76.68039479557153 39.22989213422433)","108","140239X","CSX","BALTIMORE","BALTIMORE TERM","CO 3239","HOLLINS FERRY RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.68055379494464 39.23971413293607)","109","140240S","CSX","BALTIMORE","BALTIMORE TERM","SR 107","HALETHORPE FARM","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.6690957993203 39.2388911325016)","110","140211G","CSX","BALTIMORE","BALTIMORE TERM","MU1300","REL PONCA ST","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.54429384006453 39.19599113667106)","111","140374R","CSX","BALTIMORE","BALTIMORE TERM","CO 420","KEMBO RD.","3","1","24","24003","Anne Arundel","MD","PU"
"POINT (-76.5464058354216 39.276527120031076)","112","140330R","CSX","BALTIMORE","BALTIMORE TERM","MU 1310","HOLABIRD AVENUE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.61862881258982 39.27389312316447)","113","140385D","CSX","BALTIMORE","BALTIMORE TERM","","LEADENHALL ST.","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.62246780790963 39.322879113402365)","114","140162M","CSX","BALTIMORE","BALTIMORE TERM","MD 173","PENNINGTON AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-77.04649867300299 39.3609921217801)","115","147989G","CSX","BALTIMORE","OLD MAIN LINE","CO 0602","MORGAN RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.54606083405592 39.29316711717753)","116","140372C","CSX","BALTIMORE","BALTIMORE TERM","MU 4420","QUARANTINE RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.52629684199462 39.26959212066667)","117","140317C","CSX","BALTIMORE","BALTIMORE TERM","CO5219","WILLOW SPRING RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.5464058354216 39.276527120031076)","118","140329W","CSX","BALTIMORE","BALTIMORE TERM","MU 1280","NEWKIRK STREET","3","1","24","24510","Baltimore","MD","PU"
"POINT (-76.63349680938914 39.25859012686752)","119","147990B","CSX","BALTIMORE","CAPITAL","OP 354","GREENWOOD PLACE","3","1","24","24003","Anne Arundel","MD","PU"
"POINT (-78.77402361283936 39.720189118592494)","120","145061T","CSX","BALTIMORE","KEYSTONE","CO 428","SHELLSBURG ROAD","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.7730001164699 39.659492130636785)","121","145053B","CSX","BALTIMORE","KEYSTONE","MU 1390","FRANKLIN ST","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.7711001169313 39.658893130673135)","122","145052U","CSX","BALTIMORE","KEYSTONE","MU 2720","PEAR ST.","3","1","24","24001","Allegany","MD","PU"
"POINT (-79.20646399891774 39.41561919617977)","123","144841P","CSX","C&O","MOUNTAIN","CO 245","SWANTON HILL RD","3","1","24","24023","Garrett","MD","PU"
"POINT (-79.41688193429825 39.413856205190974)","124","144852C","CSX","C&O","MOUNTAIN","MU 60","C STREET","3","1","24","24023","Garrett","MD","PU"
"POINT (-79.35237595523164 39.40242320412725)","125","144847F","CSX","C&O","MOUNTAIN","MD 560","PAUL STREET","3","1","24","24023","Garrett","MD","PU"
"POINT (-78.76589711898693 39.65689013079436)","126","145050F","CSX","BALTIMORE","CUMBERLAND TER","MU 1930","KNOX ST.","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.83804009852483 39.62956613909569)","127","145056W","CSX","BALTIMORE","KEYSTONE","CO 420","ROCK CUT ROAD","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.81049810856061 39.608890142174594)","128","144701M","CSX","C&O","MOUNTAIN","CO 293","MOSS AVE","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.76909311767186 39.65829013109779)","129","145051M","CSX","BALTIMORE","KEYSTONE","MU 3630","VALLEY ST","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.81786810694672 39.59893814385575)","130","144705P","CSX","C&O","MOUNTAIN","","ARNEL AVE.","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.76699511856539 39.655491130838904)","131","144684Y","CSX","BALTIMORE","CUMBERLAND TER","MU 250","BALTIMORE STREET","3","1","24","24001","Allegany","MD","PU"
"POINT (-79.28239897555608 39.4274711966882)","132","144845S","CSX","C&O","MOUNTAIN","CO 378","BOILING SPRINGS","3","1","24","24023","Garrett","MD","PU"
"POINT (-78.7725951171192 39.648094132610694)","133","144694E","CSX","C&O","MOUNTAIN","MU 260","BEALL STREET","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.80289910997782 39.62989413739943)","134","144698G","CSX","C&O","MOUNTAIN","CO 304","MILNOR AVENUE","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.9617740714207 39.457267178160066)","135","144729D","CSX","C&O","MOUNTAIN","CO 231","21 LANE","3","1","24","24001","Allegany","MD","PU"
"POINT (-79.30594296849021 39.42403819805576)","136","144846Y","CSX","C&O","MOUNTAIN","CO 367","RICKS ROAD","3","1","24","24023","Garrett","MD","PU"
"POINT (-79.40894793762246 39.407344205675436)","137","144851V","CSX","C&O","MOUNTAIN","MU 380","SECOND STREET","3","1","24","24023","Garrett","MD","PU"
"POINT (-75.83215910055036 38.56074123912678)","138","502445M","MDT","EASTERN","PHILA","CO 123","FLOWERSMILL ROAD","3","1","24","24035","Queen Anne's","MD","PU"
"POINT (-75.77248811259982 38.69011221028728)","139","532044U","MDDE","","","MD308","SOUTH MAIN ST.","3","1","24","24011","Caroline","MD","PU"
"POINT (-75.94539806661167 38.540382247140705)","140","532064F","MDDE","","","US 50","US 50","3","1","24","24019","Dorchester","MD","PU"
"POINT (-76.64369779147877 39.48749108127473)","141","535081G","MDT","EASTERN","HARRISBURG","CO 422","COCKEYSVILLE RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-77.40493555821506 39.42005112355957)","142","517853S","MDT","EASTERN","HARRISBURG","MU 570","EAST & EIGHTH STS","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40408055828648 39.42523912310397)","143","517851D","MDT","EASTERN","HARRISBURG","MU 9090","NINTH STREET","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40589655814699 39.41862512450064)","144","517854Y","MDT","EASTERN","HARRISBURG","MU 570","EAST & SEVNTH STS","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40368455740823 39.4280541224633)","145","517850W","MDT","EASTERN","HARRISBURG","MU 530","DELAWARE RD","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.4043175572202 39.423980122875456)","146","517852K","MDT","EASTERN","HARRISBURG","MU 570","EAST ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40493555821506 39.42005112355957)","147","517860C","MDT","EASTERN","HARRISBURG","MU 570","EAST & SECOND ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40493555821506 39.42005112355957)","148","517862R","MDT","EASTERN","HARRISBURG","MU570","EAST & PATRICK ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40323355858351 39.419853124226236)","149","517861J","MDT","EASTERN","HARRISBURG","MU 570","CHURCH & EAST STS","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40595755803545 39.420066123617545)","150","517855F","MDT","EASTERN","HARRISBURG","MU 570","EAST & SIXTH STS","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40589655814699 39.41862512450064)","151","517857U","MDT","EASTERN","HARRISBURG","MU 570","FOURTH & EAST STS","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40398955795399 39.421116123777345)","152","517859H","MDT","EASTERN","HARRISBURG","MU570","ALLEY & EAST ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40718555677914 39.4182161243743)","153","517858B","MDT","EASTERN","HARRISBURG","MU 570","EAST & THIRD STS","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40741455678184 39.42015812411547)","154","517856M","MDT","EASTERN","HARRISBURG","MU 570","EAST & FIFTH STS","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40545355730872 39.41996312388191)","155","541307E","MDT","EASTERN","HARRISBURG","MU 9050","FIFTH & EAST STS","3","1","24","24021","Frederick","MD","PU"
"POINT (-76.46800785929618 39.27674111703177)","156","530163W","NS","HARRISBURG","101258","MU4195","WILMARCO ST.","3","1","24","24005","Baltimore","MD","PU"
"POINT (-75.68654415440365 38.41697326341922)","157","530511X","MDT","EASTERN","PHILA","CO 64","WILSON ST.","3","1","24","24045","Wicomico","MD","PU"
"POINT (-75.75473613036515 38.46058225718177)","158","530512E","MDT","EASTERN","PHILA","MD 347","MAIN ST.","3","1","24","24045","Wicomico","MD","PU"
"POINT (-76.5131818470508 39.242927126015374)","159","530679R","NS","HARRISBURG","101260","","ST HELENA AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.07669596454411 39.55759004701908)","160","530167Y","NS","HARRISBURG","101254","MU 35","BROAD ST","3","1","24","24015","Cecil","MD","PU"
"POINT (-76.55892482930871 39.29938011563714)","161","530672T","NS","HARRISBURG","101260","MU 3040","BOSTON ST.","3","1","24","24005","Baltimore","MD","PU"
