"the_geom","OBJECTID","CROSSING","RAILROAD","RRDIV","RRSUBDIV","HIGHWAY","STREET","TYPEXING","POSXING","STFIPS","CTFIPS","COUNTY","State_ABBR","TYPE"
"POINT (-78.84573109565443 39.63187013937668)","550","832529T","CSX","C&O","GEORGES CREEK","MU 510","WAVERLY ST","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.95950007282059 39.45501717799159)","551","832517Y","CSX","C&O","THOMAS","CO 232","21ST BRIDGE RD","3","1","24","24001","Allegany","MD","PU"
"POINT (-76.84657072161382 39.59430306762643)","552","832025T","CSX","BALTIMORE","HANOVER","MD 30","HANOVER PIKE","3","1","24","24013","Carroll","MD","PU"
"POINT (-78.80169411085517 39.60949314114512)","553","832523C","CSX","C&O","THOMAS","MD 937","MAIN ST","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.97625405908433 39.57368115608488)","554","832534P","CSX","C&O","GEORGES CREEK","CO 10","MORRISON RD","3","1","24","24001","Allegany","MD","PU"
"POINT (-79.04649404441358 39.48491917626937)","555","832524J","CSX","C&O","GEORGES CREEK","MD 135","","3","1","24","24001","Allegany","MD","PU"
"POINT (-76.82299573242331 39.53079207993451)","556","831997J","CSX","BALTIMORE","HANOVER","CO186","OLD HANOVER RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.82510173417731 39.48799108848611)","557","831981M","CSX","BALTIMORE","HANOVER","CO483","KEMP ROAD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.78359775052813 39.44339309587325)","558","831660F","CSX","BALTIMORE","HANOVER","CO 587","GWYNNBROOK RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.68319478822275 39.34119411237109)","559","831643P","CSX","BALTIMORE","HANOVER","MU 2120","GARRISON BLVD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.82299573242331 39.53079207993451)","560","831998R","CSX","BALTIMORE","HANOVER","CO186","OLD HANOVER RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.6383648071173 39.255096127594136)","561","831621P","CSX","BALTIMORE","HANOVER","MU 1281","WASHINGTON BLVD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.83289872875734 39.54209107794937)","562","832002L","CSX","BALTIMORE","HANOVER","CO175","BYERLY RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.85249871857827 39.60619306585745)","563","832021R","CSX","BALTIMORE","HANOVER","CO417","GILL AVE","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.85159871467782 39.67129105331544)","564","832046L","CSX","BALTIMORE","HANOVER","CO 191","ALESIA RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.84439571428108 39.71859304339063)","565","832058F","CSX","BALTIMORE","HANOVER","CO205","BAUGHMAN MILL RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-78.93847406866324 39.61906414531848)","566","832535W","CSX","C&O","GEORGES CREEK","CO 9","REYNOLDS RD","3","1","24","24001","Allegany","MD","PU"
"POINT (-78.93823706818024 39.62499214399037)","567","832536D","CSX","C&O","GEORGES CREEK","MU 132","GERMAN ST","3","1","24","24001","Allegany","MD","PU"
"POINT (-76.85633671444062 39.660888055475155)","568","832040V","CSX","BALTIMORE","HANOVER","CO 190","SCHALK RD NO.2","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.82729871956198 39.710392044576984)","569","832054D","CSX","BALTIMORE","HANOVER","CO208","KERN RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.82389572202614 39.69199304758399)","570","832048A","CSX","BALTIMORE","HANOVER","CO195","FALLS ROAD","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.83830071574972 39.715492043900866)","571","832057Y","CSX","BALTIMORE","HANOVER","CO205","BAUGHMAN MILL RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.84229772351266 39.58549106990145)","572","832013Y","CSX","BALTIMORE","HANOVER","CO431","TRENTON MILL RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-76.81909673447413 39.52349108134559)","573","831993G","CSX","BALTIMORE","HANOVER","CO179","OSBORNE RD.","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.8289007338334 39.48319208922799)","574","831988K","CSX","BALTIMORE","HANOVER","CO186","OLD HANOVER RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.8377967263558 39.56359107385188)","575","832008C","CSX","BALTIMORE","HANOVER","CO169","ARCADIA RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-77.67910545793794 39.65062308845928)","576","831648Y","CSX","BALTIMORE","HANOVER","MD 2150","PATTERSON AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.64289680597666 39.25919312726456)","577","831620H","CSX","BALTIMORE","BALTIMORE TERM","MU 1960","HOLLINS FERRY RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.8289007338334 39.48319208922799)","578","831986W","CSX","BALTIMORE","HANOVER","CO186","OLD HANOVER RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.68539978792501 39.34179311266321)","579","831644W","CSX","BALTIMORE","HANOVER","MU2170","BELVEDERE AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.63219980920074 39.26549112581094)","580","831614E","CSX","BALTIMORE","HANOVER","MU 648E","ANNAPOLIS RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.82169873592541 39.477691089945495)","581","831663B","CSX","BALTIMORE","HANOVER","CO 6228","BOND AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.67900579398035 39.274486125486085)","582","831641B","CSX","BALTIMORE","HANOVER","MU2100","COLD SPRING LANE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.75719976186264 39.38369310667769)","583","831654C","CSX","BALTIMORE","HANOVER","MD 400","MT WILSON RD","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.68919878667879 39.3433911123558)","584","831645D","CSX","BALTIMORE","HANOVER","MU2840","HAYWARD AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.64529980507335 39.268390125421334)","585","831618G","CSX","BALTIMORE","BALTIMORE TERM","","BERLIN ST","3","1","24","24005","Baltimore","MD","PU"
"POINT (-77.71121744686955 39.6511720904195)","586","831836N","CSX","BALTIMORE","HANOVER","MU 2000","POTOMAC AVE","3","1","24","24043","Washington","MD","PU"
"POINT (-77.72755744283334 39.63687209312843)","587","832380G","CSX","BALTIMORE","LURGAN","MU 2300","SUMMIT AVE","3","1","24","24043","Washington","MD","PU"
"POINT (-77.67910545793794 39.65062308845928)","588","831826H","CSX","BALTIMORE","HANOVER","MD 62","TWIN SPRINGS RD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.66840146116557 39.64719408884097)","589","831829D","CSX","BALTIMORE","HANOVER","CO 348","TROVINGER RD.","3","1","24","24043","Washington","MD","PU"
"POINT (-76.8262997206787 39.70679104527497)","590","832053W","CSX","BALTIMORE","HANOVER","CO208","KERN RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-77.99399336186534 39.605548110359734)","591","832418B","CSX","BALTIMORE","LURGAN","CO 66","SHANKTOWN ROAD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.66840146116557 39.64719408884097)","592","831827P","CSX","BALTIMORE","HANOVER","CO 347","TROVINGER RD","3","1","24","24043","Washington","MD","PU"
"POINT (-76.86160071383713 39.63109206144614)","593","832030P","CSX","BALTIMORE","HANOVER","CO158","GREENMOUNT CH.RD","3","1","24","24013","Carroll","MD","PU"
"POINT (-77.71546744567051 39.65273208956542)","594","831839J","CSX","BALTIMORE","HANOVER","MU 832","FOREST DRIVE","3","1","24","24043","Washington","MD","PU"
"POINT (-77.569608491725 39.65401008375736)","595","831813G","CSX","BALTIMORE","HANOVER","MU 20","MAIN ST","3","1","24","24043","Washington","MD","PU"
"POINT (-77.72852744274589 39.637702093572194)","596","832378F","CSX","BALTIMORE","LURGAN","MU 2030","PROSPECT ST","3","1","24","24043","Washington","MD","PU"
"POINT (-77.53764849927029 39.68749207603162)","597","831804H","CSX","BALTIMORE","HANOVER","CO 264","EDGEMONT ROAD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.49135351159093 39.71085307007705)","598","831799N","CSX","BALTIMORE","HANOVER","MD 550","MCAFEE RD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.68362145216399 39.714092076825594)","599","831859V","CSX","BALTIMORE","LURGAN","CO175","REIDTOWN RD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.54283649773316 39.68054907788497)","600","831819X","CSX","BALTIMORE","HANOVER","CO 250","ITNYRE RD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.6240974750868 39.64739208746903)","601","831822F","CSX","BALTIMORE","HANOVER","CO 339","WALTZ RD","3","1","24","24043","Washington","MD","PU"
"POINT (-77.72802744336117 39.63729209325805)","602","832379M","CSX","BALTIMORE","LURGAN","MU 2430","VIRGINIA AVE","3","1","24","24043","Washington","MD","PU"
"POINT (-77.73068744174982 39.639622093227025)","603","832377Y","CSX","BALTIMORE","LURGAN","MU 1040","HIGHLAND WAY","3","1","24","24043","Washington","MD","PU"
"POINT (-76.78149975224248 39.42379309932668)","604","831659L","CSX","BALTIMORE","HANOVER","CO 447","BONITA AVE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-75.75518613064445 38.46096825665266)","605","529959W","MDT","EASTERN","PHILA","","(KNOTT'S FARM)","2","1","24","24041","Talbot","MD","PR"
"POINT (-77.04689569553268 39.00249119344351)","606","139515B","MONZ","BALTIMORE DIVI","GEORGETOWN","MD 410","EAST-WEST HWY","3","2","24","24031","Montgomery","MD","PR"
"POINT (-77.04689569553268 39.00249119344351)","607","139514U","MONZ","BALTIMORE DIVI","GEORGETOWN","","PRIVATE ROAD","2","1","24","24031","Montgomery","MD","PR"
"POINT (-77.09359468284215 38.98209319982448)","608","139516H","MONZ","BALTIMORE DIVI","GEORGETOWN","MD 355","WISCONSIN AVE","3","2","24","24031","Montgomery","MD","PR"
"POINT (-77.04469869618612 39.001590194047964)","609","139509X","MONZ","BALTIMORE DIVI","GEORGETOWN","","PRIVATE ROAD","2","1","24","24031","Montgomery","MD","PR"
"POINT (-77.1044976801927 38.96209320381833)","610","139522L","MONZ","BALTIMORE DIVI","GEORGETOWN","","PRIVATE ROAD","2","1","24","24031","Montgomery","MD","PR"
"POINT (-77.04689569553268 39.00249119344351)","611","139510S","MONZ","BALTIMORE DIVI","GEORGETOWN","CO 3338","LUTTONSVILLE PL","3","2","24","24031","Montgomery","MD","PR"
"POINT (-77.10919767846137 38.95729420565927)","612","139523T","MONZ","BALTIMORE DIVI","GEORGETOWN","MD 396","MASSACHUSETTS AVE","3","3","24","24031","Montgomery","MD","PR"
"POINT (-77.26869760318601 39.37106712879585)","613","140435E","CSX","MD","OLML","","PRIVATE ROAD","2","1","24","24021","Frederick","MD","PR"
"POINT (-77.05409769390421 38.99979419507648)","614","139511Y","MONZ","BALTIMORE DIVI","GEORGETOWN","","PRIVATE ROAD","2","1","24","24031","Montgomery","MD","PR"
"POINT (-77.11649867748277 38.94329020868985)","615","139524A","MONZ","BALTIMORE DIVI","GEORGETOWN","CO 4690","MACARTHUR BLVD","3","2","24","24031","Montgomery","MD","PR"
"POINT (-77.0980966810619 38.97789320062258)","616","139518W","MONZ","BALTIMORE DIVI","GEORGETOWN","MD 191","BRADLEY BLVD","3","3","24","24031","Montgomery","MD","PR"
"POINT (-77.48102354439897 39.2512971608125)","617","141512F","MDT","BALTIMORE","OLML","","GENSTAR THREE","2","1","24","24021","Frederick","MD","PR"
"POINT (-77.38831556588607 39.371762132588444)","618","141510S","MDT","BALTIMORE","OLD MAIN LINE","","GENSTAR FOUR","2","1","24","24021","Frederick","MD","PR"
"POINT (-78.76409612038265 39.648594132275896)","619","144955C","WMSR","MD","FROS","US 40","NATIONAL HWY","3","3","24","24001","Allegany","MD","PR"
"POINT (-76.69190779238656 39.23843713363644)","620","144961F","CSX","MARYLAND","SPARROWS POINT","**","PRIVATE RD.","2","1","24","24005","Baltimore","MD","PR"
"POINT (-78.76409612038265 39.648594132275896)","621","144956J","WMSR","MD","FROS","US 40","NATIONAL HWY","3","3","24","24001","Allegany","MD","PR"
"POINT (-76.12299894903455 39.5877910421298)","622","140795C","CSX","BALTIMORE DIVI","PHILADELPHIA","OP 352","GREENWAYS LANE","2","1","24","24025","Harford","MD","PR"
"POINT (-77.38831556588607 39.371762132588444)","623","140466D","MDT","BALTIMORE","OLD MAIN LINE","","FARMERS CO-OP","2","1","24","24021","Frederick","MD","PR"
"POINT (-77.38831556588607 39.371762132588444)","624","141513M","MDT","BALTIMORE","OLD MAIN LINE","","GENSTAR ONE","2","1","24","24021","Frederick","MD","PR"
"POINT (-76.70771778785894 39.216879138112205)","625","145054H","CSX","BALTIMORE","KEYSTONE","MU1685","HENDERSON AVE","3","2","24","24001","Allegany","MD","PR"
"POINT (-78.36344624487866 39.638080118067236)","626","144978J","CSX","BALTIMORE","CUMBERLAND TER","US 220","FRED. BEDFORD ST.","3","2","24","24001","Allegany","MD","PR"
