X,Y,rowid,device_id,Location,ReportTime,AvgSpeed,Volume,Occupancy,Latitude,Longitude
-76.6163299999999,39.4126600000001,138,61012453000700150057fa30c4235c0a,I-695 INNER LOOP PRIOR TO YORK RD,2025/05/11 04:08:17+00,70,142,2,39.41266,-76.61633
-76.6163299999999,39.4126600000001,139,61012453000700150057fa30c4235c0a,I-695 INNER LOOP PRIOR TO YORK RD,2025/05/11 04:08:17+00,70,123,2,39.41266,-76.61633
-76.6163299999999,39.4126600000001,140,61012453000700150057fa30c4235c0a,I-695 INNER LOOP PRIOR TO YORK RD,2025/05/11 04:08:17+00,70,7,0,39.41266,-76.61633
-76.5193619999999,39.3793380000001,141,66000971008600af0067d330c4235c0a,"I-695 WB @ US 1, Ex 32",2025/05/11 04:10:00+00,70,30,3,39.379338,-76.519362
-76.175494,38.9740170000001,142,66010a3000fa007e0064d330c4235c0a,"US WB 50, Prior to Exiting 45B, QA7.53 (L)",2025/05/11 04:10:00+00,70,12,1,38.974017,-76.175494
-76.707139,38.955519,143,680007d10090004d0063d330c4235c0a,"US 50 East, near Exit 13, PG8.6 (L)",2025/05/11 04:10:00+00,70,6,0,38.955519,-76.707139
-77.3831249999999,39.339593,144,69010641003400390065d330c4235c0a,I-270 North past Park Mills Rd,2025/05/11 04:10:00+00,70,15,4,39.339593,-77.383125
-77.3831249999999,39.339593,145,69010641003400390065d330c4235c0a,I-270 North past Park Mills Rd,2025/05/11 04:10:00+00,65,16,3,39.339593,-77.383125
-77.285141,39.2313340000001,146,69ff05aa00940088003ac7482f1f5daa,I-270 SB @ MD 121,2025/05/11 04:08:27+00,65,73,1,39.231334,-77.285141
-76.615062,39.2666320000001,147,6a012d29003100150057fa30c4235c0a,"MD 2 SOUTH NORTH OF MCCOMAS ST, MM 53.1",2025/05/10 22:37:45+00,70,65535,65535,39.266632,-76.615062
-76.615062,39.2666320000001,148,6a012d29003100150057fa30c4235c0a,"MD 2 SOUTH NORTH OF MCCOMAS ST, MM 53.1",2025/05/10 22:37:45+00,70,65535,65535,39.266632,-76.615062
-77.4205269999999,39.3940700000001,149,6c010a0e0072002d0065d330c4235c0a,I-270 North prior to New Design Rd,2025/05/11 04:10:00+00,70,9,2,39.39407,-77.420527
-77.4205269999999,39.3940700000001,150,6c010a0e0072002d0065d330c4235c0a,I-270 North prior to New Design Rd,2025/05/11 04:10:00+00,70,10,2,39.39407,-77.420527
-76.9119899999999,39.01746,151,6d01207000fb00140057fa30c4235c0a,I-95 OUTER LOOP PRIOR TO RHODE ISLAND AVE,2025/05/10 20:28:13+00,60,578,66,39.01746,-76.91199
-76.9119899999999,39.01746,152,6d01207000fb00140057fa30c4235c0a,I-95 OUTER LOOP PRIOR TO RHODE ISLAND AVE,2025/05/10 20:28:13+00,30,480,74,39.01746,-76.91199
-76.153644,38.987675,153,6f010b3400fe007e0064d330c4235c0a,"US 301 South, at MD 456, QA26.65",2025/05/11 04:10:00+00,70,65535,65535,38.987675,-76.153644
-76.0471689999999,38.5919860000001,154,7000064300b800bf0060d330c4235c0a,US 50 West past Choptank Riv Br,2025/05/11 04:10:00+00,65,2,0,38.591986,-76.047169
-76.0471689999999,38.5919860000001,155,7000064300b800bf0060d330c4235c0a,US 50 West past Choptank Riv Br,2025/05/11 04:10:00+00,65,3,0,38.591986,-76.047169
-76.420867,39.0214280000001,156,7100065500cd00960063d330c4235c0a,"US 50 East, Exit 31, AA16.31",2025/05/11 04:10:00+00,65,5,1,39.021428,-76.420867
