"county","incident","direction","lanes","created","lat","long","updated","location"
"Baltimore","Planned Closure @ MD 157 NORTH/SOUTH AT I-695","North/South","Southbound-Right Off Ramp, Shoulder, Northbound-Right Off Ramp, Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.24142","-76.474754","2026/03/27T19:40:01","POINT (-76.474754 39.24142)"
"Baltimore","Planned Closure @ I-695 OUTER LOOP AT EXIT 43 MD 158 (LONG TERM CONTINUOUS)","Outer Loop","2/2 Outer Loop closed","Created: 03/27/2026 06:08 PM by AOC Central.","39.238388","-76.47832","2026/03/27T19:40:01","POINT (-76.47832 39.238388)"
"Anne Arundel","Planned Closure @ MD 70 SOUTH BETWEEN CALVERT ST AND COLLEGE AVE","South","2/2 Southbound-both Traffic Lanes, Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","38.980896","-76.494225","2026/03/27T19:40:01","POINT (-76.494225 38.980896)"
"Garrett","Planned Closure @ MD 135 WEST AT PAULL ST","West","1/1 Westbound-Traffic Lane, Shoulder closed","Created: 03/27/2026 05:18 PM by SOC.","39.396057","-79.37367","2026/03/27T19:40:01","POINT (-79.37367 39.396057)"
"Garrett","Planned Closure @ MD 948 NORTH/SOUTH AT I-68","North/South","Southbound-Shoulder, Northbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.68343","-79.074036","2026/03/27T19:40:01","POINT (-79.074036 39.68343)"
"Howard","Planned Closure @ I-70 EAST AT EXIT 87A US 29 COLUMBIA PIKE (EB) (MM 87.0)","East","Eastbound-Shoulder closed","Created: 03/27/2026 05:21 PM by SOC.","39.29633","-76.83135","2026/03/27T19:40:01","POINT (-76.83135 39.29633)"
"Wicomico","Planned Closure @ US 50 EAST/WEST AT OLD RAILROAD RD","East/West","Westbound-Left Turn Lane, Eastbound-Left Turn Lane closed","Created: 03/27/2026 04:29 PM by SOC.","38.447277","-75.698586","2026/03/27T19:40:01","POINT (-75.698586 38.447277)"
"Anne Arundel","Planned Closure @ MD 713 SOUTH FROM BEAR PAW LA TO STONEY RUN DR","South","1/1 Southbound-Traffic Lane, Shoulder closed","Created: 03/27/2026 04:29 PM by SOC.","39.149727","-76.7232","2026/03/27T19:40:01","POINT (-76.7232 39.149727)"
"Worcester","Planned Closure @ MD 528 NORTH BETWEEN 48TH ST AND 50TH ST","North","Northbound-Right Turn Lane closed","Created: 03/27/2026 04:29 PM by SOC.","38.37367","-75.06979","2026/03/27T19:40:01","POINT (-75.06979 38.37367)"
"Charles","Planned Closure @ MD 234 WEST AT PLATER RD","West","Westbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","38.40866","-76.884544","2026/03/27T19:40:01","POINT (-76.884544 38.40866)"
"Prince George's","Planned Closure @ MD 410 WEST PAST ANNAPOLIS RD","West","1/2 Westbound-left Traffic Lane, left Shoulder closed","Created: 03/27/2026 05:13 PM by SOC.","38.951614","-76.88538","2026/03/27T19:40:01","POINT (-76.88538 38.951614)"
"Allegany","Planned Closure @ US 220 NORTH AT PATRIOT PKWY","North","Northbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.56687","-78.8549","2026/03/27T19:40:01","POINT (-78.8549 39.56687)"
"Howard","Planned Closure @ I-70 EAST PRIOR TO EXIT 87A US 29 COLUMBIA PIKE (EB) (MM 87.0)","East","Eastbound-right Shoulder closed","Created: 03/27/2026 05:21 PM by SOC.","39.29633","-76.83135","2026/03/27T19:40:01","POINT (-76.83135 39.29633)"
"Baltimore","Planned Closure @ I-695 INNER LOOP PRIOR TO EXIT 43 MD 157 (MM 43.0 - 45.3) (LONG TERM CONTINUOUS)","Inner Loop","1/2 Inner Loop-left Traffic Lane closed","Created: 03/27/2026 06:57 PM by AOC Central.","39.251846","-76.45689","2026/03/27T19:40:01","POINT (-76.45689 39.251846)"
"Washington","Planned Closure @ I-70 EAST AT ST PAUL RD (MM 20.0)","East","Eastbound-right Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.651527","-77.88831","2026/03/27T19:40:01","POINT (-77.88831 39.651527)"
"Baltimore City","Planned Closure @ I-895 NORTH AT TOLL PLAZA","North/South","4/7 Northbound-4 of 7 Toll Lanes, Shoulder closed","Created: 03/27/2026 07:38 PM by AOC Central.","39.241047","-76.58872","2026/03/27T19:40:01","POINT (-76.58872 39.241047)"
"Washington","Planned Closure @ US 40 EAST/WEST AT INDEPENDENCE RD","East/West","1/1 Westbound-Traffic Lane, Shoulder, 1/1 Eastbound-Traffic Lane, Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.65723","-77.84903","2026/03/27T19:40:01","POINT (-77.84903 39.65723)"
"Baltimore","Planned Closure @ MD 157 SOUTH FROM RIVERSIDE DR TO BETHLEHEM BLVD","South","Southbound-Shoulder closed","Created: 03/27/2026 04:28 PM by SOC.","39.24205","-76.47533","2026/03/27T19:40:01","POINT (-76.47533 39.24205)"
