OBJECTID,CTP Project ID,CTP Project Name,County,TBU Facility,CTP Doc URL,Longitude,Latitude,Transportation Business Unit,District,x,y
273,XX1422,"Signalization at Various Locations in DO, SO, WI, WO, CO, CE, KE, QA & TA Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=309,39.2274978327159,-76.0482653780836,Maryland State Highway Administration,0,-8465654.1776,4754311.2726
274,XX1423,Signalization at Various Locations in Montgomery and Prince George's Counties,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=309,39.0053616455349,-76.8951669002535,Maryland State Highway Administration,3,-8559930.8238,4722439.6114
275,XX1451,"Lighting Modifications at Various Locations in AL, GA, WA, CL, FR & HO Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=309,39.634065866457,-78.8324208309284,Maryland State Highway Administration,0,-8775584.9449,4812907.3522
276,XX1451,"Lighting Modifications at Various Locations in AL, GA, WA, CL, FR & HO Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=309,39.3736396961029,-77.4068486245777,Maryland State Highway Administration,0,-8616890.9728,4775334.4504
277,XX1715,Asphalt Patching at Various Locations in Anne Arundel County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=331,38.974651324749,-76.5613118409538,Maryland State Highway Administration,5,-8522766.2486,4718041.2425
278,XY244H,Joint Sealing at Various Locations in Anne Arundel County,Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=331,38.974651324749,-76.5613118409538,Maryland State Highway Administration,5,-8522766.2486,4718041.2425
279,XX1795,"Surface Treatment at Various Locations in Anne Arundel, Calvert, Charles and St. Mary’s Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,38.3029859574625,-76.6294704144967,Maryland State Highway Administration,5,-8530353.6263,4622316.4299
280,XX1795,"Surface Treatment at Various Locations in Anne Arundel, Calvert, Charles and St. Mary’s Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,38.539990202716,-76.582979522712,Maryland State Highway Administration,5,-8525178.2839,4655991.69
281,XX1795,"Surface Treatment at Various Locations in Anne Arundel, Calvert, Charles and St. Mary’s Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,38.5317113392161,-76.9806781555796,Maryland State Highway Administration,5,-8569449.8932,4654813.504
282,XX1795,"Surface Treatment at Various Locations in Anne Arundel, Calvert, Charles and St. Mary’s Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,38.974651324749,-76.5613118409538,Maryland State Highway Administration,5,-8522766.2486,4718041.2425
283,XX2296,Geometric Improvements at Various Locations in Washington County,Washington,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=492,39.6434901110085,-77.7228683471735,Maryland State Highway Administration,6,-8652070.1274,4814269.678
284,XX2323,"Sidewalk Upgrades for ADA Compliance at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=305,38.1734049818715,-75.3878686535197,Maryland State Highway Administration,1,-8392139.1505,4603951.1657
285,XX2331,"Pavement Marking at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=305,38.1734049818715,-75.3878686535197,Maryland State Highway Administration,1,-8392139.1505,4603951.1657
